frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,5.10,3.56,5.09,3.55,-3.53,-4.13,-2.57,1.57,1.56,1.54
20.20,5.13,3.59,5.14,3.60,-3.60,-4.17,-2.65,1.53,1.54,1.54
20.40,5.19,3.65,5.20,3.66,-3.67,-4.21,-2.72,1.52,1.53,1.54
20.61,5.26,3.72,5.26,3.72,-3.74,-4.26,-2.80,1.52,1.52,1.54
20.81,5.34,3.80,5.34,3.80,-3.81,-4.30,-2.88,1.53,1.52,1.54
21.02,5.42,3.88,5.42,3.88,-3.88,-4.34,-2.96,1.54,1.53,1.54
21.23,5.49,3.95,5.49,3.96,-3.96,-4.39,-3.04,1.53,1.54,1.54
21.44,5.57,4.03,5.57,4.03,-4.03,-4.43,-3.13,1.54,1.54,1.54
21.66,5.65,4.11,5.65,4.11,-4.11,-4.47,-3.21,1.54,1.54,1.54
21.87,5.72,4.18,5.72,4.18,-4.18,-4.52,-3.31,1.54,1.54,1.54
22.09,5.79,4.25,5.79,4.25,-4.25,-4.56,-3.40,1.54,1.54,1.54
22.31,5.86,4.32,5.86,4.32,-4.32,-4.61,-3.49,1.54,1.54,1.54
22.54,5.93,4.39,5.93,4.39,-4.39,-4.65,-3.59,1.54,1.54,1.54
22.76,6.00,4.46,6.00,4.46,-4.46,-4.69,-3.69,1.54,1.54,1.54
22.99,6.06,4.52,6.06,4.52,-4.52,-4.74,-3.79,1.54,1.54,1.54
23.22,6.12,4.58,6.12,4.58,-4.59,-4.78,-3.90,1.53,1.53,1.54
23.45,6.18,4.64,6.18,4.64,-4.65,-4.82,-4.01,1.53,1.53,1.54
23.69,6.24,4.70,6.25,4.71,-4.70,-4.87,-4.12,1.53,1.54,1.54
23.92,6.31,4.77,6.31,4.77,-4.76,-4.91,-4.23,1.55,1.54,1.54
24.16,6.37,4.83,6.36,4.83,-4.82,-4.96,-4.35,1.55,1.54,1.54
24.40,6.41,4.87,6.41,4.87,-4.88,-5.00,-4.46,1.53,1.54,1.54
24.65,6.46,4.92,6.46,4.92,-4.93,-5.04,-4.58,1.52,1.53,1.54
24.89,6.51,4.97,6.52,4.98,-4.99,-5.09,-4.70,1.52,1.53,1.54
25.14,6.59,5.05,6.58,5.05,-5.05,-5.13,-4.82,1.54,1.54,1.54
25.39,6.65,5.11,6.65,5.11,-5.10,-5.17,-4.94,1.55,1.54,1.54
25.65,6.70,5.16,6.70,5.17,-5.16,-5.22,-5.07,1.54,1.55,1.54
25.91,6.76,5.22,6.75,5.22,-5.21,-5.26,-5.19,1.54,1.54,1.54
26.16,6.80,5.26,6.80,5.27,-5.27,-5.30,-5.31,1.53,1.53,1.54
26.43,6.86,5.32,6.86,5.32,-5.32,-5.34,-5.44,1.53,1.53,1.54
26.69,6.91,5.37,6.91,5.37,-5.38,-5.39,-5.56,1.53,1.53,1.54
26.96,6.97,5.43,6.97,5.43,-5.43,-5.43,-5.68,1.54,1.54,1.54
27.23,7.02,5.48,7.02,5.48,-5.48,-5.47,-5.80,1.54,1.54,1.54
27.50,7.07,5.53,7.07,5.53,-5.53,-5.51,-5.92,1.54,1.54,1.54
27.77,7.11,5.57,7.11,5.58,-5.58,-5.56,-6.04,1.54,1.54,1.54
28.05,7.16,5.62,7.16,5.62,-5.62,-5.60,-6.15,1.54,1.54,1.54
28.33,7.21,5.67,7.21,5.67,-5.67,-5.64,-6.26,1.54,1.54,1.54
28.62,7.25,5.71,7.25,5.72,-5.72,-5.68,-6.36,1.53,1.54,1.54
28.90,7.30,5.76,7.30,5.76,-5.76,-5.72,-6.46,1.54,1.54,1.54
29.19,7.35,5.81,7.34,5.81,-5.81,-5.77,-6.55,1.54,1.54,1.54
29.48,7.39,5.85,7.40,5.86,-5.86,-5.81,-6.63,1.53,1.54,1.54
29.78,7.44,5.90,7.44,5.90,-5.90,-5.85,-6.71,1.54,1.54,1.54
30.08,7.50,5.96,7.49,5.95,-5.95,-5.89,-6.78,1.55,1.54,1.54
30.38,7.53,5.99,7.54,6.00,-6.00,-5.93,-6.85,1.53,1.54,1.54
30.68,7.58,6.04,7.59,6.05,-6.05,-5.97,-6.90,1.53,1.54,1.54
30.99,7.64,6.10,7.63,6.09,-6.09,-6.01,-6.95,1.54,1.54,1.54
31.30,7.69,6.15,7.68,6.15,-6.14,-6.05,-6.99,1.55,1.54,1.54
31.61,7.72,6.18,7.73,6.19,-6.19,-6.09,-7.03,1.53,1.54,1.54
31.93,7.78,6.24,7.77,6.23,-6.24,-6.13,-7.05,1.54,1.53,1.54
32.24,7.81,6.27,7.82,6.28,-6.28,-6.16,-7.06,1.53,1.53,1.54
32.57,7.86,6.32,7.86,6.33,-6.33,-6.20,-7.07,1.53,1.54,1.54
32.89,7.92,6.38,7.91,6.37,-6.37,-6.24,-7.07,1.55,1.54,1.54
33.22,7.95,6.41,7.96,6.42,-6.41,-6.28,-7.06,1.54,1.54,1.54
33.55,8.00,6.46,7.99,6.46,-6.46,-6.32,-7.05,1.54,1.54,1.54
33.89,8.03,6.49,8.03,6.50,-6.50,-6.35,-7.03,1.53,1.54,1.54
34.23,8.07,6.53,8.08,6.54,-6.54,-6.39,-7.01,1.53,1.54,1.54
34.57,8.12,6.58,8.11,6.57,-6.57,-6.43,-6.98,1.55,1.54,1.54
34.92,8.15,6.61,8.15,6.61,-6.61,-6.46,-6.95,1.54,1.54,1.54
35.27,8.18,6.64,8.18,6.65,-6.64,-6.50,-6.91,1.54,1.54,1.54
35.62,8.21,6.67,8.21,6.68,-6.68,-6.53,-6.88,1.53,1.53,1.54
35.97,8.26,6.72,8.25,6.71,-6.72,-6.57,-6.84,1.54,1.54,1.54
36.33,8.28,6.74,8.29,6.75,-6.75,-6.60,-6.80,1.53,1.54,1.54
36.70,8.33,6.79,8.33,6.79,-6.79,-6.64,-6.76,1.54,1.54,1.54
37.06,8.36,6.82,8.36,6.82,-6.83,-6.67,-6.72,1.54,1.54,1.54
37.43,8.40,6.86,8.40,6.86,-6.86,-6.70,-6.68,1.54,1.54,1.54
37.81,8.44,6.90,8.44,6.90,-6.90,-6.74,-6.64,1.54,1.54,1.54
38.19,8.48,6.94,8.48,6.94,-6.94,-6.77,-6.60,1.54,1.54,1.54
38.57,8.51,6.97,8.52,6.98,-6.98,-6.80,-6.57,1.53,1.54,1.54
38.95,8.56,7.02,8.55,7.02,-7.01,-6.83,-6.54,1.55,1.54,1.54
39.34,8.59,7.05,8.59,7.05,-7.05,-6.86,-6.51,1.54,1.54,1.54
39.74,8.62,7.08,8.63,7.09,-7.09,-6.89,-6.48,1.53,1.54,1.54
40.14,8.66,7.12,8.65,7.12,-7.12,-6.92,-6.46,1.54,1.53,1.54
40.54,8.69,7.15,8.69,7.15,-7.16,-6.95,-6.44,1.53,1.54,1.54
40.94,8.72,7.18,8.73,7.19,-7.19,-6.98,-6.43,1.53,1.54,1.54
41.35,8.77,7.23,8.76,7.22,-7.22,-7.01,-6.42,1.55,1.54,1.54
41.76,8.78,7.24,8.79,7.25,-7.25,-7.04,-6.41,1.54,1.54,1.54
42.18,8.82,7.28,8.81,7.28,-7.27,-7.07,-6.41,1.55,1.54,1.54
42.60,8.82,7.28,8.83,7.29,-7.29,-7.10,-6.41,1.53,1.54,1.54
43.03,8.86,7.32,8.85,7.31,-7.31,-7.12,-6.42,1.55,1.53,1.54
43.46,8.86,7.32,8.86,7.32,-7.33,-7.15,-6.43,1.53,1.53,1.54
43.90,8.86,7.32,8.88,7.34,-7.34,-7.17,-6.45,1.52,1.54,1.54
44.33,8.91,7.37,8.89,7.36,-7.35,-7.20,-6.47,1.56,1.54,1.54
44.78,8.91,7.37,8.90,7.37,-7.37,-7.22,-6.49,1.54,1.54,1.54
45.23,8.91,7.37,8.92,7.38,-7.38,-7.25,-6.53,1.53,1.54,1.54
45.68,8.91,7.37,8.93,7.39,-7.39,-7.27,-6.56,1.52,1.53,1.54
46.13,8.96,7.42,8.94,7.40,-7.41,-7.29,-6.60,1.55,1.53,1.54
46.60,8.96,7.42,8.96,7.42,-7.42,-7.32,-6.65,1.54,1.54,1.54
47.06,8.96,7.42,8.98,7.44,-7.43,-7.34,-6.70,1.53,1.54,1.54
47.53,9.00,7.46,8.98,7.45,-7.45,-7.36,-6.75,1.55,1.53,1.54
48.01,9.00,7.46,9.00,7.46,-7.46,-7.38,-6.81,1.54,1.54,1.54
48.49,9.00,7.46,9.02,7.48,-7.48,-7.40,-6.88,1.52,1.54,1.54
48.97,9.04,7.50,9.03,7.49,-7.49,-7.42,-6.94,1.55,1.54,1.54
49.46,9.05,7.51,9.04,7.50,-7.51,-7.44,-7.01,1.54,1.53,1.54
49.96,9.05,7.51,9.06,7.52,-7.52,-7.46,-7.09,1.53,1.54,1.54
50.46,9.05,7.51,9.07,7.53,-7.53,-7.48,-7.17,1.52,1.54,1.54
50.96,9.10,7.56,9.08,7.55,-7.54,-7.49,-7.25,1.56,1.54,1.54
51.47,9.10,7.56,9.09,7.56,-7.55,-7.51,-7.33,1.55,1.54,1.54
51.99,9.10,7.56,9.11,7.57,-7.56,-7.52,-7.41,1.54,1.54,1.54
52.51,9.10,7.56,9.11,7.57,-7.58,-7.54,-7.50,1.52,1.53,1.54
53.03,9.13,7.59,9.12,7.58,-7.59,-7.55,-7.59,1.54,1.53,1.54
53.56,9.14,7.60,9.14,7.60,-7.60,-7.57,-7.68,1.54,1.53,1.54
54.10,9.14,7.60,9.16,7.62,-7.62,-7.58,-7.76,1.52,1.54,1.54
54.64,9.18,7.64,9.17,7.63,-7.63,-7.60,-7.85,1.55,1.53,1.54
55.18,9.19,7.65,9.19,7.65,-7.65,-7.61,-7.94,1.54,1.54,1.54
55.74,9.19,7.65,9.21,7.67,-7.67,-7.62,-8.02,1.52,1.54,1.54
56.29,9.24,7.70,9.22,7.68,-7.68,-7.63,-8.10,1.56,1.54,1.54
56.86,9.24,7.70,9.24,7.70,-7.70,-7.64,-8.17,1.54,1.54,1.54
